	Series1_NHBE_Mock_1	Series1_NHBE_Mock_2	Series1_NHBE_Mock_3	Series9_NHBE_Mock_1	Series9_NHBE_Mock_2	Series9_NHBE_Mock_3	Series9_NHBE_Mock_4	Series1_NHBE_SARS-CoV-2_1	Series1_NHBE_SARS-CoV-2_2	Series1_NHBE_SARS-CoV-2_3	Series9_NHBE_IAV_1	Series9_NHBE_IAV_2	Series9_NHBE_IAV_3	Series9_NHBE_IAV_4	Series9_NHBE_IAVdNS1_1	Series9_NHBE_IAVdNS1_2	Series9_NHBE_IAVdNS1_3	Series9_NHBE_IAVdNS1_4	Series2_A549_Mock_1	Series2_A549_Mock_2	Series2_A549_Mock_3	Series3_A549_Mock_1	Series3_A549_Mock_2	Series4_A549_Mock_1	Series4_A549_Mock_2	Series5_A549_Mock_1	Series5_A549_Mock_2	Series5_A549_Mock_3	Series8_A549_Mock_1	Series8_A549_Mock_2	Series8_A549_Mock_3	Series2_A549_SARS-CoV-2_1	Series2_A549_SARS-CoV-2_2	Series2_A549_SARS-CoV-2_3	Series5_A549_SARS-CoV-2_1	Series5_A549_SARS-CoV-2_2	Series5_A549_SARS-CoV-2_3	Series4_A549_IAV_1	Series4_A549_IAV_2	Series3_A549_RSV_1	Series3_A549_RSV_2	Series8_A549_HPIV3_3	Series8_A549_HPIV3_2	Series8_A549_HPIV3_1	Series7_Calu3_Mock_1	Series7_Calu3_Mock_2	Series7_Calu3_Mock_3	Series7_Calu3_SARS-CoV-2_1	Series7_Calu3_SARS-CoV-2_2	Series7_Calu3_SARS-CoV-2_3	Series15_HealthyLungBiopsy_2	Series15_HealthyLungBiopsy_1	Series15_COVID19Lung_2	Series15_COVID19Lung_1
HES4	3.295836866004329	3.970291913552122	4.060443010546419	4.672828834461906	4.812184355372417	5.560681631015528	5.953243334287785	3.4339872044851463	2.8903717578961645	4.174387269895637	5.5254529391317835	3.828641396489095	5.062595033026967	3.8918202981106265	7.261225091971921	7.124478262493424	6.517671272912275	7.337587743538596	5.730099782973574	5.159055299214529	4.820281565605037	5.680172609017068	5.605802066295998	3.6635616461296463	4.174387269895637	5.10594547390058	5.049856007249537	4.976733742420574	4.060443010546419	3.295836866004329	3.4965075614664802	5.771441123130016	5.676753802268282	5.488937726156687	4.762173934797756	4.941642422609304	5.236441962829949	3.258096538021482	2.302585092994046	5.991464547107982	5.093750200806762	4.787491742782046	4.6913478822291435	4.499809670330265	5.43372200355424	6.304448802421981	6.748759547491679	5.8916442118257715	5.8522024797744745	6.739336627357174	5.739792912179234	5.713732805509369	2.5649493574615367	0.0
ISG15	3.828641396489095	3.970291913552122	3.9512437185814275	4.248495242049359	4.2626798770413155	4.867534450455582	5.327876168789581	4.418840607796598	3.828641396489095	5.356586274672012	6.858565034791365	5.703782474656201	7.177782416195197	5.973809611869261	9.765489054378838	9.480825419599443	9.536834420213353	10.737157255721947	4.51085950651685	3.7612001156935624	3.6375861597263857	6.866933284461882	6.54965074223381	3.6888794541139363	4.820281565605037	4.477336814478207	3.871201010907891	4.060443010546419	4.343805421853684	3.044522437723423	3.258096538021482	7.257707677160043	7.1252830915107115	6.777646593635117	4.343805421853684	3.871201010907891	4.709530201312334	4.07753744390572	2.6390573296152584	8.665957964681349	8.34212526333359	8.065893546964274	7.94873845481361	7.8528278122817445	6.251903883165888	7.23561914106675	7.793174347189205	8.923457979694966	8.238008249218403	9.009569671513699	7.243512974665482	8.31434234336979	7.710653323501202	5.783825182329737
SCNN1D	2.0794415416798357	2.3978952727983707	3.044522437723423	2.5649493574615367	2.0794415416798357	2.3978952727983707	2.5649493574615367	2.5649493574615367	2.1972245773362196	2.302585092994046	3.6109179126442243	2.4849066497880004	2.5649493574615367	1.9459101490553132	3.5553480614894135	2.9444389791664403	3.6888794541139363	4.976733742420574	4.941642422609304	4.442651256490317	3.784189633918261	6.2766434893416445	5.755742213586912	3.2188758248682006	3.6375861597263857	4.663439094112067	4.51085950651685	4.653960350157523	3.4657359027997265	2.5649493574615367	3.4657359027997265	4.812184355372417	4.442651256490317	4.430816798843313	4.219507705176107	4.330733340286331	5.1298987149230735	2.4849066497880004	1.9459101490553132	5.14166355650266	4.465908118654584	3.1354942159291497	3.5553480614894135	3.044522437723423	2.6390573296152584	2.70805020110221	3.8918202981106265	2.833213344056216	2.3978952727983707	3.367295829986474	4.060443010546419	2.302585092994046	0.0	0.0
CCNL2	6.831953565565855	7.017506142941256	7.214504414151143	6.498282149476434	6.584791392385716	6.953684210870537	7.509883061154913	6.956545443151569	6.7650389767805414	7.846198815497425	8.076515327552329	6.529418838262226	6.588926477533519	5.877735781779639	7.234898420314831	6.818924065275521	6.894670039433482	7.068172000388042	7.469083884921234	7.052721049232323	6.731018100482083	8.585972706811063	8.301521654940728	5.786897381366708	6.3835066348840055	7.57095858316901	7.492760300922379	7.291656209174461	5.2574953720277815	5.978885764901122	6.313548046277095	7.731053144007127	7.6255950721324535	7.480428306074208	7.516977224604321	7.527255919373784	8.30622521603216	5.645446897643238	4.74493212836325	7.499423290592229	6.950814768442584	6.464588303689961	6.467698726104354	6.428105272684596	5.8664680569332965	6.677083461247136	7.4570320891223805	6.608000625296087	6.082218910376446	6.674561391814426	8.51057131510735	8.587092318795905	0.6931471805599453	1.0986122886681098
PLEKHG5	6.827629234502852	7.00397413672268	7.303843225277705	6.507277712385012	6.385194398997726	6.601230118728877	7.27655640271871	7.088408778675395	6.683360945766275	7.87587915949631	7.870165946469845	6.369900982828227	6.642486801367256	6.054439346269371	7.206377291472252	6.977281341630747	7.122866658599083	7.2254814727822945	4.68213122712422	4.143134726391533	3.784189633918261	5.318119993844216	5.153291594497779	2.995732273553991	3.4965075614664802	4.7535901911063645	4.762173934797756	4.624972813284271	2.0794415416798357	3.295836866004329	3.5263605246161616	4.962844630259907	4.875197323201151	4.553876891600541	4.919980925828125	5.267858159063328	5.645446897643238	2.833213344056216	2.4849066497880004	4.465908118654584	4.189654742026425	3.7612001156935624	4.0943445622221	3.8066624897703196	3.295836866004329	3.6635616461296463	4.543294782270004	4.787491742782046	4.23410650459726	5.181783550292085	5.0369526024136295	5.3471075307174685	0.0	0.0
KLHL21	6.180016653652572	6.061456918928017	6.77078942390898	6.212606095751519	6.317164686747284	6.184148890937483	6.897704943128636	6.2766434893416445	6.137727054086234	7.124478262493424	8.065893546964274	6.60934924316738	6.324358962381311	5.638354669333745	7.247080584585756	6.900730664045173	7.421775793644647	7.4770384723196965	6.710523109452428	6.129050210060545	5.8664680569332965	6.131226489483141	5.918893854273146	4.867534450455582	5.056245805348308	6.09807428216624	5.916202062607435	6.0112671744041615	2.772588722239781	4.844187086458591	5.407171771460119	6.498282149476434	6.386879319362645	6.135564891081739	5.988961416889864	5.805134968916488	6.504288173536645	3.9889840465642745	3.784189633918261	4.276666119016055	3.9889840465642745	5.231108616854587	5.627621113690637	5.1298987149230735	5.579729825986222	6.102558594613569	6.9985096422506015	6.593044534142437	5.777652323222656	6.70196036600254	6.583409222158765	7.836764783264067	1.3862943611198906	0.6931471805599453
THAP3	4.2626798770413155	4.394449154672439	4.836281906951478	3.8918202981106265	3.8918202981106265	4.442651256490317	4.74493212836325	4.709530201312334	4.343805421853684	5.424950017481403	5.384495062789089	3.912023005428146	4.1588830833596715	3.1354942159291497	5.442417710521793	4.969813299576001	5.123963979403259	5.823045895483019	5.3981627015177525	4.969813299576001	4.8283137373023015	5.8944028342648505	5.631211781821365	4.127134385045092	4.663439094112067	5.680172609017068	5.645446897643238	5.3612921657094255	4.553876891600541	4.465908118654584	4.762173934797756	5.44673737166631	5.58724865840025	5.2574953720277815	5.420534999272286	5.2832037287379885	5.998936561946683	4.219507705176107	3.1354942159291497	4.68213122712422	4.5217885770490405	5.0238805208462765	5.123963979403259	4.718498871295094	4.02535169073515	5.187385805840755	5.749392985908253	5.560681631015528	4.948759890378168	5.556828061699537	5.762051382780177	6.698268054115413	1.791759469228055	0.0
TNFRSF9	2.0794415416798357	2.3978952727983707	2.1972245773362196	1.791759469228055	0.6931471805599453	0.6931471805599453	0.0	1.9459101490553132	1.791759469228055	2.70805020110221	4.663439094112067	2.995732273553991	1.3862943611198906	1.3862943611198906	2.3978952727983707	2.3978952727983707	3.871201010907891	3.367295829986474	4.454347296253507	3.58351893845611	3.1354942159291497	3.6375861597263857	3.5553480614894135	1.9459101490553132	3.044522437723423	3.8066624897703196	3.9512437185814275	3.784189633918261	2.1972245773362196	2.4849066497880004	2.3978952727983707	4.584967478670572	4.330733340286331	4.174387269895637	5.3706380281276624	5.497168225293202	5.966146739123692	2.4849066497880004	2.302585092994046	3.2188758248682006	2.70805020110221	4.406719247264253	4.290459441148391	4.51085950651685	2.3978952727983707	0.6931471805599453	2.4849066497880004	5.272999558563747	4.804021044733257	5.375278407684165	3.8066624897703196	5.978885764901122	0.0	0.0
ERRFI1	7.451241684987676	7.327123292259293	7.888709524182015	6.3578422665081	6.401917196727186	6.870053411798126	7.60339933974067	7.457609289715606	7.640123172695364	8.682877107057168	8.52377150677636	6.9930151229329605	7.122866658599083	6.419994928147142	7.79934339821592	7.202661196523238	8.37770121259764	8.166216268592143	7.64826303090192	7.075808863978387	6.80128303447162	7.872073979866873	8.122668023346407	5.8888779583328805	6.668228248417403	7.469083884921234	7.460490305825338	7.387090235656757	3.4657359027997265	5.8971538676367405	6.71174039505618	8.130942302231878	7.842671474979457	7.553286605600419	8.114025442356757	9.015784277513886	8.671629544720656	6.720220155135295	5.3706380281276624	7.284134806195205	6.648984550024776	7.306531398939505	7.010311867307229	7.5740450053721995	6.246106765481563	6.642486801367256	7.639161171659173	7.953669778649798	7.587817219993427	8.001689978099135	7.855932199718614	10.107203606184239	2.5649493574615367	0.0
SLC45A1	1.6094379124341003	1.3862943611198906	1.3862943611198906	0.6931471805599453	0.6931471805599453	0.0	0.0	1.791759469228055	0.0	2.3978952727983707	1.791759469228055	1.3862943611198906	0.6931471805599453	0.6931471805599453	0.0	0.6931471805599453	0.6931471805599453	1.6094379124341003	4.672828834461906	4.060443010546419	3.9318256327243257	6.274762021241939	5.783825182329737	2.995732273553991	3.4657359027997265	4.624972813284271	4.465908118654584	4.23410650459726	3.332204510175204	3.4657359027997265	3.970291913552122	4.882801922586371	4.983606621708336	4.74493212836325	4.276666119016055	5.159055299214529	5.384495062789089	2.302585092994046	1.6094379124341003	5.529429087511423	5.093750200806762	3.4011973816621555	3.4011973816621555	3.295836866004329	2.3978952727983707	2.70805020110221	3.332204510175204	2.8903717578961645	2.70805020110221	3.1354942159291497	4.31748811353631	2.4849066497880004	0.0	0.0
